brand_name,match_status,matched_image_svg,matched_image_png,price_count,top_100_by_price
Metro,exact,metro.svg,,9,
METRO,exact,metro.svg,,4,
Migrolino,exact,,migrolino.png,1,
Migros,exact,migros.svg,,368,yes
Migros Daily,no,,,1,
Minipreço,exact,minipreco.svg,,5,
Ministop,exact,,,1,
Mix Markt,exact,mix-markt.svg,,9,
Momie,no,,,2,
Mondadori,exact,,mondadori.png,2,
Mondial Relay,exact,,mondial-relay.png,1,
Monop',exact,monop.svg,monop.png,285,yes
monop',exact,monop.svg,monop.png,13,
Monoprix,exact,monoprix.svg,,4509,yes
More,exact,,more.png,2,
Morrisons,exact,,morrisons.png,130,
Moustache;Lapierre;Scott,no,,,1,
MPREIS,exact,,mpreis.png,28,
Mr.Bricolage,exact,,mr-bricolage.png,23,
My Auchan,exact,,my-auchan.png,37,
MyAuchan,exact,,myauchan.png,4,
Mäc-Geiz,exact,,mac-geiz.png,1,
Müller,exact,,muller.png,18,
Nahkauf,exact,nahkauf.svg,nahkauf.png,93,
Narvesen,exact,,narvesen.png,1,
National Grid,no,,,2,
Naturalia,exact,naturalia.svg,naturalia.png,1356,yes
Naturalia Vegan,no,,,1,
NaturaSì,exact,,naturasi.png,2,
Nature & Découvertes,exact,,nature-decouvertes.png,2,
Nature et Découvertes,exact,,nature-et-decouvertes.png,3,
Naturenville,no,,,135,
naturéO,exact,natureo.svg,natureo.png,2,
Nespresso,exact,nespresso.svg,,33,
Netto,exact,netto.svg,,1432,yes
Netto City,exact,,netto-city.png,607,yes
Netto Marken-Discount,exact,,netto-marken-discount.png,949,yes
New Balance,exact,,new-balance.png,2,
No Frills,exact,,no-frills.png,9,
Norfa XL,exact,,norfa-xl.png,11,
NORMA,exact,norma.svg,,36,
Norma,exact,norma.svg,,29,
Normal,exact,,normal.png,19,
NOUS anti-gaspi,exact,,nous-anti-gaspi.png,8,
Nous anti-gaspi,exact,,nous-anti-gaspi.png,31,
NOZ,exact,,noz.png,55,
NTT docomo,exact,,ntt-docomo.png,1,
NTUC Fairprice,no,,,1,
OBI,exact,obi.svg,,1,
Obs,exact,,obs.png,265,yes
Okay,exact,,okay.png,3,
OMV,exact,,omv.png,1,
Otto's,exact,,ottos.png,1,
Pak'nSave,exact,,paknsave.png,1,
Pam,no,,,124,
Paris Store,no,,,58,
Pathé Gaumont,exact,,pathe-gaumont.png,1,
Pehlivanoğlu,no,,,5,
Penny,exact,penny.svg,,117,
PENNY,exact,penny.svg,,14,
Penny Soester Süden,no,,,1,
